time_s,current_A,soc_true,soc_ekf,ocv_V,v_rc_V,v_terminal_V
9.840000000000000000e+02,2.500000000000000000e+00,7.991545893719932403e-01,7.631428804247976094e-01,3.863717052274479258e+00,4.941315396759410339e-02,3.689303898306885099e+00
9.850000000000000000e+02,2.500000000000000000e+00,7.988526570048435360e-01,7.627839280857091619e-01,3.863297240596348381e+00,4.942764324776003498e-02,3.688869597348588325e+00
9.860000000000000000e+02,2.500000000000000000e+00,7.985507246376938317e-01,7.624254357364669277e-01,3.862877771994015941e+00,4.944177478632402062e-02,3.688435997207692107e+00
9.870000000000000000e+02,2.500000000000000000e+00,7.982487922705441274e-01,7.620673915238572738e-01,3.862458646673161855e+00,4.945555741595768912e-02,3.688003089257203992e+00
9.880000000000000000e+02,2.500000000000000000e+00,7.979468599033944232e-01,7.617097838446583724e-01,3.862039864838231473e+00,4.946899975125321897e-02,3.687570865086978067e+00
9.890000000000000000e+02,2.500000000000000000e+00,7.976449275362447189e-01,7.613526013406315407e-01,3.861621426692434689e+00,4.948211019410776040e-02,3.687139316498326824e+00
9.900000000000000000e+02,2.500000000000000000e+00,7.973429951690950146e-01,7.609958328935977345e-01,3.861203332437742386e+00,4.949489693897487358e-02,3.686708435498767589e+00
9.910000000000000000e+02,2.500000000000000000e+00,7.970410628019453103e-01,7.606394676205969763e-01,3.860785582274889549e+00,4.950736797798634820e-02,3.686278214296903055e+00
9.920000000000000000e+02,2.500000000000000000e+00,7.967391304347956060e-01,7.602834948691368222e-01,3.860368176403371265e+00,4.951953110594752711e-02,3.685848645297423953e+00
9.930000000000000000e+02,2.500000000000000000e+00,7.964371980676459017e-01,7.599279042125207662e-01,3.859951115021445833e+00,4.953139392520933271e-02,3.685419721096236501e+00
9.940000000000000000e+02,2.500000000000000000e+00,7.961352657004961975e-01,7.595726854452570231e-01,3.859534398326129434e+00,4.954296385041997292e-02,3.684991434475709315e+00
9.950000000000000000e+02,2.500000000000000000e+00,7.958333333333464932e-01,7.592178285785574632e-01,3.859118026513198796e+00,4.955424811315933820e-02,3.684563778400039347e+00
9.960000000000000000e+02,2.500000000000000000e+00,7.955314009661967889e-01,7.588633238359043798e-01,3.858701999777189418e+00,4.956525376645897624e-02,3.684136746010730601e+00
9.970000000000000000e+02,2.500000000000000000e+00,7.952294685990470846e-01,7.585091616487104060e-01,3.858286318311394680e+00,4.957598768921045451e-02,3.683710330622184337e+00
9.980000000000000000e+02,2.500000000000000000e+00,7.949275362318973803e-01,7.581553326520474867e-01,3.857870982307865404e+00,4.958645659046492099e-02,3.683284525717400282e+00
9.990000000000000000e+02,2.500000000000000000e+00,7.946256038647476760e-01,7.578018276804566744e-01,3.857455991957408514e+00,4.959666701362645119e-02,3.682859324943782209e+00
1.000000000000000000e+03,0.000000000000000000e+00,7.943236714975979718e-01,7.574486377638377510e-01,3.857041347449588375e+00,4.960662534054189471e-02,3.807434722109046543e+00
1.001000000000000000e+03,0.000000000000000000e+00,7.943236714975979718e-01,7.574367512251299894e-01,3.857041347449588375e+00,4.838183339690636797e-02,3.808659514052682216e+00
1.002000000000000000e+03,0.000000000000000000e+00,7.943236714975979718e-01,7.574618985778364122e-01,3.857041347449588375e+00,4.718728167410619206e-02,3.809854065775482024e+00
1.003000000000000000e+03,0.000000000000000000e+00,7.943236714975979718e-01,7.575218519652027194e-01,3.857041347449588375e+00,4.602222353842866376e-02,3.811019123911159490e+00
1.004000000000000000e+03,0.000000000000000000e+00,7.943236714975979718e-01,7.576144860737552555e-01,3.857041347449588375e+00,4.488593079061312108e-02,3.812155416658975060e+00
1.005000000000000000e+03,0.000000000000000000e+00,7.943236714975979718e-01,7.577377721702778235e-01,3.857041347449588375e+00,4.377769321070271169e-02,3.813263654238885803e+00
1.006000000000000000e+03,0.000000000000000000e+00,7.943236714975979718e-01,7.578897727879079227e-01,3.857041347449588375e+00,4.269681811413379713e-02,3.814344529335454759e+00
1.007000000000000000e+03,0.000000000000000000e+00,7.943236714975979718e-01,7.580686369696640892e-01,3.857041347449588375e+00,4.164262991878555503e-02,3.815398717530802841e+00
1.008000000000000000e+03,0.000000000000000000e+00,7.943236714975979718e-01,7.582725959907424818e-01,3.857041347449588375e+00,4.061446972271914868e-02,3.816426877726869282e+00
1.009000000000000000e+03,0.000000000000000000e+00,7.943236714975979718e-01,7.584999594920323052e-01,3.857041347449588375e+00,3.961169489234259156e-02,3.817429652557245756e+00
1.010000000000000000e+03,0.000000000000000000e+00,7.943236714975979718e-01,7.587491119668696715e-01,3.857041347449588375e+00,3.863367866074380458e-02,3.818407668788844411e+00
1.011000000000000000e+03,0.000000000000000000e+00,7.943236714975979718e-01,7.590185095511307045e-01,3.857041347449588375e+00,3.767980973594091398e-02,3.819361537713647614e+00
1.012000000000000000e+03,0.000000000000000000e+00,7.943236714975979718e-01,7.593066770737908477e-01,3.857041347449588375e+00,3.674949191880484689e-02,3.820291855530783653e+00
1.013000000000000000e+03,0.000000000000000000e+00,7.943236714975979718e-01,7.596122053311843425e-01,3.857041347449588375e+00,3.584214373041547802e-02,3.821199203719173099e+00
1.014000000000000000e+03,0.000000000000000000e+00,7.943236714975979718e-01,7.599337485532516867e-01,3.857041347449588375e+00,3.495719804861837504e-02,3.822084149400970077e+00
1.015000000000000000e+03,0.000000000000000000e+00,7.943236714975979718e-01,7.602700220348191928e-01,3.857041347449588375e+00,3.409410175355499090e-02,3.822947245696033391e+00
1.016000000000000000e+03,0.000000000000000000e+00,7.943236714975979718e-01,7.606197999086328210e-01,3.857041347449588375e+00,3.325231538194473729e-02,3.823789032067643756e+00
1.017000000000000000e+03,0.000000000000000000e+00,7.943236714975979718e-01,7.609819130404377185e-01,3.857041347449588375e+00,3.243131278990288996e-02,3.824610034659685631e+00
1.018000000000000000e+03,0.000000000000000000e+00,7.943236714975979718e-01,7.613552470292780372e-01,3.857041347449588375e+00,3.163058082408352900e-02,3.825410766625505055e+00
1.019000000000000000e+03,0.000000000000000000e+00,7.943236714975979718e-01,7.617387402987364498e-01,3.857041347449588375e+00,3.084961900094197046e-02,3.826191728448646412e+00
1.020000000000000000e+03,0.000000000000000000e+00,7.943236714975979718e-01,7.621313822672008964e-01,3.857041347449588375e+00,3.008793919391629032e-02,3.826953408255671985e+00
1.021000000000000000e+03,0.000000000000000000e+00,7.943236714975979718e-01,7.625322115869147543e-01,3.857041347449588375e+00,2.934506532833231970e-02,3.827696282121256122e+00
1.022000000000000000e+03,0.000000000000000000e+00,7.943236714975979718e-01,7.629403144435658035e-01,3.857041347449588375e+00,2.862053308384146857e-02,3.828420814365746772e+00
1.023000000000000000e+03,0.000000000000000000e+00,7.943236714975979718e-01,7.633548229093446436e-01,3.857041347449588375e+00,2.791388960420540521e-02,3.829127457845383109e+00
1.024000000000000000e+03,0.000000000000000000e+00,7.943236714975979718e-01,7.637749133438338500e-01,3.857041347449588375e+00,2.722469321424616367e-02,3.829816654235342011e+00
1.025000000000000000e+03,0.000000000000000000e+00,7.943236714975979718e-01,7.641998048380336250e-01,3.857041347449588375e+00,2.655251314378476862e-02,3.830488834305803447e+00
1.026000000000000000e+03,0.000000000000000000e+00,7.943236714975979718e-01,7.646287576978402223e-01,3.857041347449588375e+00,2.589692925839586976e-02,3.831144418191192447e+00
1.027000000000000000e+03,0.000000000000000000e+00,7.943236714975979718e-01,7.650610719640412727e-01,3.857041347449588375e+00,2.525753179681002741e-02,3.831783815652778369e+00
1.028000000000000000e+03,0.000000000000000000e+00,7.943236714975979718e-01,7.654960859665315143e-01,3.857041347449588375e+00,2.463392111479959998e-02,3.832407426334788703e+00
1.029000000000000000e+03,0.000000000000000000e+00,7.943236714975979718e-01,7.659331749110032117e-01,3.857041347449588375e+00,2.402570743538808354e-02,3.833015640014200365e+00
1.030000000000000000e+03,0.000000000000000000e+00,7.943236714975979718e-01,7.663717494968619315e-01,3.857041347449588375e+00,2.343251060522680979e-02,3.833608836844361711e+00
1.031000000000000000e+03,0.000000000000000000e+00,7.943236714975979718e-01,7.668112545654965917e-01,3.857041347449588375e+00,2.285395985698673166e-02,3.834187387592601581e+00
1.032000000000000000e+03,0.000000000000000000e+00,7.943236714975979718e-01,7.672511677782689610e-01,3.857041347449588375e+00,2.228969357761677317e-02,3.834751653871971477e+00
1.033000000000000000e+03,0.000000000000000000e+00,7.943236714975979718e-01,7.676909983238870971e-01,3.857041347449588375e+00,2.173935908232390440e-02,3.835301988367264325e+00
1.034000000000000000e+03,0.000000000000000000e+00,7.943236714975979718e-01,7.681302856550265012e-01,3.857041347449588375e+00,2.120261239413366236e-02,3.835838735055454585e+00
1.035000000000000000e+03,0.000000000000000000e+00,7.943236714975979718e-01,7.685685982541451411e-01,3.857041347449588375e+00,2.067911802889333545e-02,3.836362229420695158e+00
1.036000000000000000e+03,0.000000000000000000e+00,7.943236714975979718e-01,7.690055324286129146e-01,3.857041347449588375e+00,2.016854878558346428e-02,3.836872798664004769e+00
1.037000000000000000e+03,0.000000000000000000e+00,7.943236714975979718e-01,7.694407111352188355e-01,3.857041347449588375e+00,1.967058554180654145e-02,3.837370761907781702e+00
1.038000000000000000e+03,0.000000000000000000e+00,7.943236714975979718e-01,7.698737828344316414e-01,3.857041347449588375e+00,1.918491705432513045e-02,3.837856430395263363e+00
1.039000000000000000e+03,0.000000000000000000e+00,7.943236714975979718e-01,7.703044203743553142e-01,3.857041347449588375e+00,1.871123976452470153e-02,3.838330107685063552e+00
1.040000000000000000e+03,0.000000000000000000e+00,7.943236714975979718e-01,7.707323199047499962e-01,3.857041347449588375e+00,1.824925760867962543e-02,3.838792089840908694e+00
1.041000000000000000e+03,0.000000000000000000e+00,7.943236714975979718e-01,7.711571998212632950e-01,3.857041347449588375e+00,1.779868183290370456e-02,3.839242665616684480e+00
1.042000000000000000e+03,0.000000000000000000e+00,7.943236714975979718e-01,7.715787997399803366e-01,3.857041347449588375e+00,1.735923081266959461e-02,3.839682116636918607e+00
1.043000000000000000e+03,0.000000000000000000e+00,7.943236714975979718e-01,7.719968795023877117e-01,3.857041347449588375e+00,1.693062987678430401e-02,3.840110717572803978e+00
1.044000000000000000e+03,0.000000000000000000e+00,7.943236714975979718e-01,7.724112182108280322e-01,3.857041347449588375e+00,1.651261113571075856e-02,3.840528736313877811e+00
1.045000000000000000e+03,0.000000000000000000e+00,7.943236714975979718e-01,7.728216132943563910e-01,3.857041347449588375e+00,1.610491331412812477e-02,3.840936434135460154e+00
1.046000000000000000e+03,0.000000000000000000e+00,7.943236714975979718e-01,7.732278796050851000e-01,3.857041347449588375e+00,1.570728158762622548e-02,3.841334065861962355e+00
1.047000000000000000e+03,0.000000000000000000e+00,7.943236714975979718e-01,7.736298485446673201e-01,3.857041347449588375e+00,1.531946742343198199e-02,3.841721880026156555e+00
1.048000000000000000e+03,0.000000000000000000e+00,7.943236714975979718e-01,7.740273672209381228e-01,3.857041347449588375e+00,1.494122842506835289e-02,3.842100119024519866e+00
1.049000000000000000e+03,0.000000000000000000e+00,7.943236714975979718e-01,7.744202976343254052e-01,3.857041347449588375e+00,1.457232818084863712e-02,3.842469019268739849e+00
1.050000000000000000e+03,0.000000000000000000e+00,7.943236714975979718e-01,7.748085158937868533e-01,3.857041347449588375e+00,1.421253611611147591e-02,3.842828811333476757e+00
1.051000000000000000e+03,0.000000000000000000e+00,7.943236714975979718e-01,7.751919114618646134e-01,3.857041347449588375e+00,1.386162734910418443e-02,3.843179720100484253e+00
1.052000000000000000e+03,0.000000000000000000e+00,7.943236714975979718e-01,7.755703864285330429e-01,3.857041347449588375e+00,1.351938255042433104e-02,3.843521964899164090e+00
1.053000000000000000e+03,0.000000000000000000e+00,7.943236714975979718e-01,7.759438548132805424e-01,3.857041347449588375e+00,1.318558780593172969e-02,3.843855759643656445e+00
1.054000000000000000e+03,0.000000000000000000e+00,7.943236714975979718e-01,7.763122418949700565e-01,3.857041347449588375e+00,1.286003448304513103e-02,3.844181312966543196e+00
1.055000000000000000e+03,0.000000000000000000e+00,7.943236714975979718e-01,7.766754835689523295e-01,3.857041347449588375e+00,1.254251910034006982e-02,3.844498828349248498e+00
1.056000000000000000e+03,0.000000000000000000e+00,7.943236714975979718e-01,7.770335257308048638e-01,3.857041347449588375e+00,1.223284320036635564e-02,3.844808504249221937e+00
1.057000000000000000e+03,0.000000000000000000e+00,7.943236714975979718e-01,7.773863236861504600e-01,3.857041347449588375e+00,1.193081322560569750e-02,3.845110534223982857e+00
1.058000000000000000e+03,0.000000000000000000e+00,7.943236714975979718e-01,7.777338415858445764e-01,3.857041347449588375e+00,1.163624039749196031e-02,3.845405107052096483e+00
1.059000000000000000e+03,0.000000000000000000e+00,7.943236714975979718e-01,7.780760518859536345e-01,3.857041347449588375e+00,1.134894059841841385e-02,3.845692406851169753e+00
1.060000000000000000e+03,0.000000000000000000e+00,7.943236714975979718e-01,7.784129348318016284e-01,3.857041347449588375e+00,1.106873425665823654e-02,3.845972613192929934e+00
1.061000000000000000e+03,0.000000000000000000e+00,7.943236714975979718e-01,7.787444779653950322e-01,3.857041347449588375e+00,1.079544623412633658e-02,3.846245901215461949e+00
1.062000000000000000e+03,0.000000000000000000e+00,7.943236714975979718e-01,7.790706756555447754e-01,3.857041347449588375e+00,1.052890571691235226e-02,3.846512441732675924e+00
1.063000000000000000e+03,0.000000000000000000e+00,7.943236714975979718e-01,7.793915286499542017e-01,3.857041347449588375e+00,1.026894610851639481e-02,3.846772401341072012e+00
1.064000000000000000e+03,0.000000000000000000e+00,7.943236714975979718e-01,7.797070436485916689e-01,3.857041347449588375e+00,1.001540492572081283e-02,3.847025942523867759e+00
1.065000000000000000e+03,0.000000000000000000e+00,7.943236714975979718e-01,7.800172328976051617e-01,3.857041347449588375e+00,9.768123697032895028e-03,3.847273223752555538e+00
1.066000000000000000e+03,0.000000000000000000e+00,7.943236714975979718e-01,7.803221138030684845e-01,3.857041347449588375e+00,9.526947863635023758e-03,3.847514399585953537e+00
1.067000000000000000e+03,0.000000000000000000e+00,7.943236714975979718e-01,7.806217085638483821e-01,3.857041347449588375e+00,9.291726682780386201e-03,3.847749620766808043e+00
1.068000000000000000e+03,0.000000000000000000e+00,7.943236714975979718e-01,7.809160438229378887e-01,3.857041347449588375e+00,9.062313133573848822e-03,3.847979034316014513e+00
1.069000000000000000e+03,0.000000000000000000e+00,7.943236714975979718e-01,7.812051503364605409e-01,3.857041347449588375e+00,8.838563825079113340e-03,3.848202783624509404e+00
1.070000000000000000e+03,0.000000000000000000e+00,7.943236714975979718e-01,7.814890626597683632e-01,3.857041347449588375e+00,8.620338906694712325e-03,3.848421008542893595e+00
1.071000000000000000e+03,0.000000000000000000e+00,7.943236714975979718e-01,7.817678188498826675e-01,3.857041347449588375e+00,8.407501980742833683e-03,3.848633845468845571e+00
1.072000000000000000e+03,0.000000000000000000e+00,7.943236714975979718e-01,7.820414601836395141e-01,3.857041347449588375e+00,8.199920017216325019e-03,3.848841427432371898e+00
1.073000000000000000e+03,0.000000000000000000e+00,7.943236714975979718e-01,7.823100308909348710e-01,3.857041347449588375e+00,7.997463270630618404e-03,3.849043884178957597e+00
1.074000000000000000e+03,0.000000000000000000e+00,7.943236714975979718e-01,7.825735779023436089e-01,3.857041347449588375e+00,7.800005198928569410e-03,3.849241342250659947e+00
1.075000000000000000e+03,0.000000000000000000e+00,7.943236714975979718e-01,7.828321506105929695e-01,3.857041347449588375e+00,7.607422384387559945e-03,3.849433925065200768e+00
1.076000000000000000e+03,0.000000000000000000e+00,7.943236714975979718e-01,7.830858006452233733e-01,3.857041347449588375e+00,7.419594456479399261e-03,3.849621752993109158e+00
1.077000000000000000e+03,0.000000000000000000e+00,7.943236714975979718e-01,7.833345816598988876e-01,3.857041347449588375e+00,7.236404016634827296e-03,3.849804943432953763e+00
1.078000000000000000e+03,0.000000000000000000e+00,7.943236714975979718e-01,7.835785491317356355e-01,3.857041347449588375e+00,7.057736564865585947e-03,3.849983610884722740e+00
1.079000000000000000e+03,0.000000000000000000e+00,7.943236714975979718e-01,7.838177601722139398e-01,3.857041347449588375e+00,6.883480428198200836e-03,3.850157867021390068e+00
1.080000000000000000e+03,0.000000000000000000e+00,7.943236714975979718e-01,7.840522733490029594e-01,3.857041347449588375e+00,6.713526690874736802e-03,3.850327820758713493e+00
1.081000000000000000e+03,0.000000000000000000e+00,7.943236714975979718e-01,7.842821485182944752e-01,3.857041347449588375e+00,6.547769126276902288e-03,3.850493578323311628e+00
1.082000000000000000e+03,0.000000000000000000e+00,7.943236714975979718e-01,7.845074466671050351e-01,3.857041347449588375e+00,6.386104130530957657e-03,3.850655243319057508e+00
